,Sport,Interviewee,Opponent,Sex,Rank,Rank Opp.,Int. Age,Opp. Age,Health,Psychics,Prev. Match,Confidence,day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,Class
16,0.0,0.8444444444444444,0.13043478260869565,1.0,0.7380073800738007,0.07626076260762608,0.7948717948717948,0.8636363636363636,1.0,0.9999999999999999,0.0,1.0,0.4482758620689655,0.8333333333333333,0.9601226993865031,0.0,1.0,1.0,0.9574468085106382,0.8333333333333333,0.9574468085106382,0.4444444444444571,0.0
17,0.0,0.8666666666666667,0.41304347826086957,1.0,0.959409594095941,0.03228782287822878,0.7179487179487178,0.6363636363636364,1.0,0.9999999999999999,0.0,1.0,0.5517241379310345,0.8333333333333333,0.6871165644171779,0.0,0.7000000000000001,0.6666666666666667,0.6808510638297872,0.8333333333333333,0.6808510638297872,0.8888888888888857,1.0
18,0.0,0.31111111111111117,0.30434782608695654,1.0,0.4059040590405904,0.014022140221402213,0.846153846153846,0.7272727272727274,1.0,0.9999999999999999,0.0,0.75,0.8620689655172413,0.8333333333333333,0.901840490797546,0.0,0.9,1.0,0.8936170212765957,0.8333333333333333,0.8936170212765957,0.8888888888888857,1.0
19,0.0,0.1111111111111111,0.3913043478260869,1.0,0.05904059040590406,0.6642066420664207,1.0,0.36363636363636365,1.0,0.9999999999999999,0.0,0.5,0.9310344827586207,0.8333333333333333,0.34662576687116564,0.0,0.30000000000000004,0.3333333333333333,0.3404255319148936,0.8333333333333333,0.3404255319148936,0.7777777777777715,0.0
20,0.0,0.1111111111111111,0.8478260869565217,1.0,0.07626076260762608,0.7380073800738007,0.923076923076923,0.6363636363636364,0.0,0.9999999999999999,0.0,0.75,0.4482758620689655,0.8333333333333333,0.9601226993865031,0.0,1.0,1.0,0.9574468085106382,0.8333333333333333,0.9574468085106382,0.4444444444444571,1.0
21,0.5,0.2666666666666667,0.43478260869565216,0.0,0.007380073800738007,0.0,0.6666666666666666,0.36363636363636365,1.0,0.9999999999999999,0.0,0.25,0.20689655172413793,0.5,0.10122699386503067,0.0,0.1,0.0,0.10638297872340424,0.5,0.10638297872340424,0.8888888888888857,0.0
22,0.5,0.488888888888889,0.21739130434782608,1.0,0.02952029520295203,0.013284132841328414,0.7692307692307692,0.8181818181818182,1.0,0.9999999999999999,0.0,1.0,0.034482758620689655,0.16666666666666666,0.7361963190184049,0.0,0.8,0.6666666666666667,0.7446808510638298,0.16666666666666666,0.7446808510638298,1.0,1.0
23,0.5,0.8888888888888888,0.6956521739130435,1.0,0.0,0.0,0.6666666666666666,0.9090909090909091,1.0,0.9999999999999999,0.0,1.0,0.3793103448275862,0.8333333333333333,0.021472392638036807,0.0,0.0,0.0,0.02127659574468085,0.8333333333333333,0.02127659574468085,0.8888888888888857,1.0
24,0.5,0.7111111111111111,0.6086956521739131,1.0,0.02952029520295203,0.007380073800738007,0.6923076923076923,0.40909090909090906,0.0,0.9999999999999999,0.0,0.5,0.06896551724137931,0.3333333333333333,0.7392638036809817,0.0,0.8,0.6666666666666667,0.7446808510638298,0.3333333333333333,0.7446808510638298,0.3333333333333428,0.0
25,0.5,0.7777777777777778,0.17391304347826086,1.0,0.01107011070110701,0.00959409594095941,0.7179487179487178,0.5000000000000001,1.0,0.9999999999999999,0.0,0.75,0.13793103448275862,0.16666666666666666,0.6503067484662577,0.0,0.7000000000000001,0.6666666666666667,0.6595744680851063,0.16666666666666666,0.6595744680851063,1.0,0.0
26,1.0,0.35555555555555557,0.5869565217391304,1.0,0.007380073800738007,0.1033210332103321,0.641025641025641,0.18181818181818177,1.0,0.6666666666666666,1.0,0.75,0.793103448275862,1.0,0.05828220858895705,0.0,0.0,0.0,0.06382978723404255,1.0,0.06382978723404255,0.5555555555555713,1.0
27,1.0,0.5333333333333333,0.5652173913043478,0.0,0.12915129151291513,0.0036900369003690036,0.5128205128205128,0.0,1.0,0.33333333333333337,0.5,0.25,0.8275862068965517,0.6666666666666666,0.24233128834355827,0.0,0.20000000000000004,0.0,0.23404255319148934,0.6666666666666666,0.23404255319148934,0.0,0.0
